"Family","Father","Mother","Gender","Height","Kids"
"38","71.0","66.0","M","69.0","6"
"38","71.0","66.0","M","68.5","6"
"38","71.0","66.0","F","66.0","6"
"38","71.0","66.0","F","64.5","6"
"38","71.0","66.0","F","63.0","6"
"39","71.0","66.0","M","71.0","2"
"39","71.0","66.0","F","67.0","2"
"40","71.0","66.0","M","76.0","5"
"40","71.0","66.0","M","72.0","5"
"40","71.0","66.0","M","71.0","5"
"40","71.0","66.0","M","66.0","5"
"40","71.0","66.0","F","66.0","5"
"41","71.7","65.5","M","70.5","1"
"42","71.0","65.5","M","72.0","6"
"42","71.0","65.5","M","72.0","6"
"42","71.0","65.5","M","71.0","6"
"42","71.0","65.5","M","69.0","6"
"42","71.0","65.5","F","66.0","6"
"42","71.0","65.5","F","65.0","6"
"43","71.5","65.5","M","73.0","2"
"43","71.5","65.5","F","65.2","2"
"44","71.5","65.0","M","68.5","2"
"44","71.5","65.0","M","67.7","2"
"45","71.0","65.0","M","68.0","3"
"45","71.0","65.0","M","68.0","3"
"45","71.0","65.0","F","62.0","3"
"46","71.0","64.0","F","68.0","8"
"46","71.0","64.0","F","68.0","8"
"46","71.0","64.0","F","67.5","8"
"46","71.0","64.0","F","66.5","8"
"46","71.0","64.0","F","66.5","8"
"46","71.0","64.0","F","66.0","8"
"46","71.0","64.0","F","65.5","8"
"46","71.0","64.0","F","65.0","8"
"47","71.7","64.5","M","72.0","4"
"47","71.7","64.5","M","71.0","4"
"47","71.7","64.5","M","70.5","4"
"47","71.7","64.5","F","67.0","4"
"48","71.0","64.0","M","68.0","3"
"48","71.0","64.0","M","68.0","3"
"48","71.0","64.0","M","68.0","3"
"49","71.5","64.5","M","72.0","7"
"49","71.5","64.5","M","71.0","7"
"49","71.5","64.5","M","70.0","7"
"49","71.5","64.5","F","66.0","7"
"49","71.5","64.5","F","64.5","7"
"49","71.5","64.5","F","64.5","7"
"49","71.5","64.5","F","62.0","7"
"51","71.2","63.0","F","67.5","2"
"51","71.2","63.0","F","64.5","2"
"52","71.0","63.5","M","71.0","5"
"52","71.0","63.5","M","67.0","5"
"52","71.0","63.5","F","66.0","5"
"52","71.0","63.5","F","65.0","5"
"52","71.0","63.5","F","63.5","5"
"53","71.0","63.0","M","71.0","9"
"53","71.0","63.0","M","70.0","9"
"53","71.0","63.0","M","70.0","9"
"53","71.0","63.0","M","64.0","9"
"53","71.0","63.0","F","65.0","9"
"53","71.0","63.0","F","65.0","9"
"53","71.0","63.0","F","64.0","9"
"53","71.0","63.0","F","63.0","9"
"53","71.0","63.0","F","63.0","9"
"54","71.0","63.0","M","71.0","4"
"54","71.0","63.0","M","71.0","4"
"54","71.0","63.0","M","70.0","4"
"54","71.0","63.0","F","63.5","4"
"55","71.0","62.0","M","71.0","5"
"55","71.0","62.0","M","70.0","5"
"55","71.0","62.0","F","64.5","5"
"55","71.0","62.0","F","62.5","5"
"55","71.0","62.0","F","61.5","5"
"56","71.0","62.0","M","72.0","5"
"56","71.0","62.0","M","70.5","5"
"56","71.0","62.0","M","70.5","5"
"56","71.0","62.0","F","64.5","5"
"56","71.0","62.0","F","60.0","5"
"57","71.0","62.5","M","70.0","5"
"57","71.0","62.5","F","64.0","5"
"57","71.0","62.5","F","64.0","5"
"57","71.0","62.5","F","64.0","5"
"57","71.0","62.5","F","62.5","5"
"58","71.0","62.0","M","70.5","7"
"58","71.0","62.0","M","70.0","7"
"58","71.0","62.0","M","69.0","7"
"58","71.0","62.0","M","69.0","7"
"58","71.0","62.0","M","66.0","7"
"58","71.0","62.0","F","64.5","7"
"58","71.0","62.0","F","64.0","7"
"59","71.0","61.0","F","62.0","1"
"60","71.0","58.0","M","71.5","2"
"60","71.0","58.0","M","69.0","2"
"61","70.0","69.0","M","71.0","4"
"61","70.0","69.0","M","70.0","4"
"61","70.0","69.0","M","69.0","4"
"61","70.0","69.0","F","69.0","4"
"62","70.0","69.0","M","70.0","6"
"62","70.0","69.0","M","68.7","6"
"62","70.0","69.0","F","68.0","6"
"62","70.0","69.0","F","66.0","6"
"62","70.0","69.0","F","64.0","6"
"62","70.0","69.0","F","62.0","6"
"63","70.0","68.0","M","75.0","1"
"64","70.0","67.0","M","70.0","5"
"64","70.0","67.0","M","69.0","5"
"64","70.0","67.0","F","66.0","5"
"64","70.0","67.0","F","64.0","5"
"64","70.0","67.0","F","60.0","5"
"65","70.0","67.0","F","67.5","1"
"66","70.0","66.5","M","73.0","11"
"66","70.0","66.5","M","72.0","11"
"66","70.0","66.5","M","72.0","11"
"66","70.0","66.5","M","66.5","11"
"66","70.0","66.5","F","69.2","11"
"66","70.0","66.5","F","67.2","11"
"66","70.0","66.5","F","66.5","11"
"66","70.0","66.5","F","66.0","11"
"66","70.0","66.5","F","66.0","11"
"66","70.0","66.5","F","64.2","11"
"66","70.0","66.5","F","63.7","11"
"67","70.5","65.0","M","72.0","4"
"67","70.5","65.0","M","70.2","4"
"67","70.5","65.0","M","69.0","4"
"67","70.5","65.0","M","68.5","4"
"68","70.5","65.0","F","68.0","5"
"68","70.5","65.0","F","65.0","5"
"68","70.5","65.0","F","61.5","5"
"68","70.5","65.0","F","61.0","5"
"68","70.5","65.0","F","61.0","5"
"69","70.0","65.0","M","73.0","8"
"69","70.0","65.0","M","72.0","8"
"69","70.0","65.0","M","70.5","8"
"69","70.0","65.0","M","65.0","8"
"69","70.0","65.0","M","65.0","8"
"69","70.0","65.0","F","64.5","8"
"69","70.0","65.0","F","63.0","8"
"69","70.0","65.0","F","62.0","8"
"70","70.0","65.0","M","67.0","5"
"70","70.0","65.0","M","65.0","5"
"70","70.0","65.0","F","64.5","5"
"70","70.0","65.0","F","62.5","5"
"70","70.0","65.0","F","62.5","5"
"71","70.0","65.0","M","70.0","6"
"71","70.0","65.0","M","70.0","6"
"71","70.0","65.0","F","67.0","6"
"71","70.0","65.0","F","65.0","6"
"71","70.0","65.0","F","65.0","6"
"71","70.0","65.0","F","63.0","6"
"72","70.0","65.0","M","79.0","7"
"72","70.0","65.0","M","75.0","7"
"72","70.0","65.0","M","71.0","7"
"72","70.0","65.0","F","69.0","7"
"72","70.0","65.0","F","67.0","7"
"72","70.0","65.0","F","65.7","7"
"72","70.0","65.0","F","62.0","7"
"73","70.0","65.0","M","73.0","3"
"73","70.0","65.0","M","72.5","3"
"73","70.0","65.0","F","65.0","3"
"74","70.0","65.0","M","69.0","2"
"74","70.0","65.0","M","69.0","2"
"75","70.0","64.7","M","72.0","7"
"75","70.0","64.7","M","70.0","7"
"75","70.0","64.7","M","68.7","7"
"75","70.0","64.7","F","66.5","7"
"75","70.0","64.7","F","65.5","7"
"75","70.0","64.7","F","64.7","7"
"75","70.0","64.7","F","64.5","7"
"76","70.0","64.0","M","70.7","7"
"76","70.0","64.0","M","70.0","7"
"76","70.0","64.0","M","68.0","7"
"76","70.0","64.0","M","67.0","7"
"76","70.0","64.0","M","66.0","7"
"76","70.0","64.0","M","65.0","7"
"76","70.0","64.0","F","67.0","7"
"77","70.0","64.0","M","70.0","4"
"77","70.0","64.0","M","68.0","4"
"77","70.0","64.0","M","66.7","4"
"77","70.0","64.0","F","65.5","4"
"78","70.0","64.2","M","72.0","5"
"78","70.0","64.2","M","70.0","5"
"78","70.0","64.2","F","62.5","5"
"78","70.0","64.2","F","61.2","5"
"78","70.0","64.2","F","60.1","5"
"79","70.5","64.0","M","74.0","8"
"79","70.5","64.0","M","69.5","8"
"79","70.5","64.0","M","69.0","8"
"79","70.5","64.0","M","68.0","8"
"79","70.5","64.0","M","68.0","8"
"79","70.5","64.0","M","68.0","8"
"79","70.5","64.0","F","65.5","8"
"79","70.5","64.0","F","65.0","8"
"80","70.5","64.5","F","60.0","1"
"81","70.0","64.0","M","68.0","4"
"81","70.0","64.0","F","65.0","4"
"81","70.0","64.0","F","64.0","4"
"81","70.0","64.0","F","62.0","4"
"82","70.0","64.0","M","71.0","9"
"82","70.0","64.0","M","70.0","9"
"82","70.0","64.0","M","70.0","9"
"82","70.0","64.0","M","70.0","9"
"82","70.0","64.0","M","69.5","9"
"82","70.0","64.0","M","68.5","9"
"82","70.0","64.0","F","69.0","9"
"82","70.0","64.0","F","65.0","9"
"82","70.0","64.0","F","64.0","9"
"83","70.0","63.7","M","70.0","8"
"83","70.0","63.7","M","67.0","8"
"83","70.0","63.7","M","65.5","8"
"83","70.0","63.7","F","63.7","8"
"83","70.0","63.7","F","63.2","8"
"83","70.0","63.7","F","62.5","8"
"83","70.0","63.7","F","62.2","8"
"83","70.0","63.7","F","61.0","8"
"85","70.5","63.0","M","72.5","5"
"85","70.5","63.0","M","69.0","5"
"85","70.5","63.0","M","67.0","5"
"85","70.5","63.0","F","64.5","5"
"85","70.5","63.0","F","64.0","5"
"86","70.0","63.5","M","71.0","4"
"86","70.0","63.5","M","67.5","4"
"86","70.0","63.5","F","67.5","4"
"86","70.0","63.5","F","63.5","4"
"87","70.0","63.0","M","68.0","4"
"87","70.0","63.0","M","67.0","4"
"87","70.0","63.0","F","63.7","4"
"87","70.0","63.0","F","62.0","4"
"88","70.0","63.0","M","70.0","4"
"88","70.0","63.0","M","66.5","4"
"88","70.0","63.0","F","62.0","4"
"88","70.0","63.0","F","61.0","4"
"89","70.5","62.0","M","72.0","8"
"89","70.5","62.0","M","70.0","8"
"89","70.5","62.0","M","69.5","8"
"89","70.5","62.0","M","69.5","8"
"89","70.5","62.0","M","68.0","8"
"89","70.5","62.0","F","65.0","8"
"89","70.5","62.0","F","64.0","8"
"89","70.5","62.0","F","63.0","8"
"90","70.3","62.7","M","70.7","7"
"90","70.3","62.7","M","69.7","7"
"90","70.3","62.7","M","69.2","7"
"90","70.3","62.7","M","65.2","7"
"90","70.3","62.7","F","64.0","7"
"90","70.3","62.7","F","63.5","7"
"90","70.3","62.7","F","63.2","7"
"91","70.5","62.0","M","72.0","3"
"91","70.5","62.0","M","72.0","3"
"91","70.5","62.0","F","60.0","3"
"92","70.0","61.0","M","71.2","2"
"92","70.0","61.0","M","67.0","2"
"93","70.0","60.0","M","67.0","4"
"93","70.0","60.0","M","64.5","4"
"93","70.0","60.0","F","65.0","4"
"93","70.0","60.0","F","63.0","4"
"94","70.0","60.0","F","65.0","2"
"94","70.0","60.0","F","65.0","2"
"95","70.0","58.5","M","71.5","3"
"95","70.0","58.5","M","64.5","3"
"95","70.0","58.5","F","63.0","3"
"96","70.0","58.0","M","72.0","5"
"96","70.0","58.0","M","66.0","5"
"96","70.0","58.0","F","66.0","5"
"96","70.0","58.0","F","65.0","5"
"96","70.0","58.0","F","63.0","5"
"97","69.0","68.5","M","75.0","10"
"97","69.0","68.5","M","71.0","10"
"97","69.0","68.5","M","70.0","10"
"97","69.0","68.5","F","66.0","10"
"97","69.0","68.5","F","66.0","10"
"97","69.0","68.5","F","65.5","10"
"97","69.0","68.5","F","65.0","10"
"97","69.0","68.5","F","65.0","10"
"97","69.0","68.5","F","64.0","10"
"97","69.0","68.5","F","64.0","10"
"98","69.0","67.0","F","64.0","1"
"99","69.0","66.0","M","73.0","8"
"99","69.0","66.0","M","72.0","8"
"99","69.0","66.0","M","71.7","8"
"99","69.0","66.0","M","71.5","8"
"99","69.0","66.0","F","65.5","8"
"99","69.0","66.0","F","65.0","8"
"99","69.0","66.0","F","62.7","8"
"99","69.0","66.0","F","62.5","8"
"100","69.0","66.0","M","71.2","3"
"100","69.0","66.0","M","71.0","3"
"100","69.0","66.0","M","70.0","3"
"101","69.0","66.7","M","75.0","6"
"101","69.0","66.7","M","74.0","6"
"101","69.0","66.7","M","72.0","6"
"101","69.0","66.7","M","68.5","6"
"101","69.0","66.7","M","67.0","6"
"101","69.0","66.7","M","66.0","6"
"102","69.0","66.0","M","70.0","6"
"102","69.0","66.0","M","68.5","6"
"102","69.0","66.0","M","68.0","6"
"102","69.0","66.0","F","65.0","6"
"102","69.0","66.0","F","63.0","6"
"102","69.0","66.0","F","62.5","6"
"103","69.0","66.5","M","73.0","5"
"103","69.0","66.5","M","71.0","5"
"103","69.0","66.5","M","70.5","5"
"103","69.0","66.5","M","70.5","5"
"103","69.0","66.5","F","61.0","5"
"104","69.5","66.5","M","70.5","4"
"104","69.5","66.5","M","67.5","4"
"104","69.5","66.5","F","64.5","4"
"104","69.5","66.5","F","64.0","4"
"105","69.0","66.5","M","71.0","6"
"105","69.0","66.5","F","68.5","6"
"105","69.0","66.5","F","67.5","6"
"105","69.0","66.5","F","66.0","6"
"105","69.0","66.5","F","63.0","6"
"105","69.0","66.5","F","63.0","6"
"106","69.5","66.0","M","71.0","7"
"106","69.5","66.0","M","71.0","7"
"106","69.5","66.0","M","70.5","7"
"106","69.5","66.0","M","70.5","7"
"106","69.5","66.0","F","66.5","7"
"106","69.5","66.0","F","65.5","7"
"106","69.5","66.0","F","64.5","7"
"107","69.0","66.0","M","73.0","9"
"107","69.0","66.0","M","72.0","9"
"107","69.0","66.0","M","69.0","9"
"107","69.0","66.0","M","69.0","9"
"107","69.0","66.0","F","66.5","9"
"107","69.0","66.0","F","65.5","9"
"107","69.0","66.0","F","65.5","9"
"107","69.0","66.0","F","65.0","9"
"107","69.0","66.0","F","64.0","9"
"108","69.0","65.0","M","70.0","7"
"108","69.0","65.0","M","68.5","7"
"108","69.0","65.0","M","67.0","7"
"108","69.0","65.0","F","65.0","7"
"108","69.0","65.0","F","64.0","7"
"108","69.0","65.0","F","63.5","7"
"108","69.0","65.0","F","61.0","7"
"109","69.5","64.5","M","69.7","7"
"109","69.5","64.5","M","68.0","7"
"109","69.5","64.5","M","60.0","7"
"109","69.5","64.5","F","65.2","7"
"109","69.5","64.5","F","64.5","7"
"109","69.5","64.5","F","63.7","7"
"109","69.5","64.5","F","60.0","7"
"110","69.2","64.0","M","71.7","4"
"110","69.2","64.0","M","66.5","4"
"110","69.2","64.0","F","65.0","4"
"110","69.2","64.0","F","63.5","4"
"112","69.0","63.0","M","69.0","3"
"112","69.0","63.0","F","67.5","3"
"112","69.0","63.0","F","63.5","3"
"113","69.0","63.0","M","72.0","1"
"114","69.0","63.0","M","73.0","6"
"114","69.0","63.0","M","70.0","6"
"114","69.0","63.0","M","70.0","6"
"114","69.0","63.0","M","64.0","6"
"114","69.0","63.0","F","66.0","6"
"114","69.0","63.0","F","62.0","6"
"115","69.0","63.5","M","70.5","7"
"115","69.0","63.5","M","67.0","7"
"115","69.0","63.5","M","66.0","7"
"115","69.0","63.5","F","65.0","7"
"115","69.0","63.5","F","63.0","7"
"115","69.0","63.5","F","62.0","7"
"115","69.0","63.5","F","61.0","7"
"116","69.0","63.5","M","70.5","3"
"116","69.0","63.5","F","63.7","3"
"116","69.0","63.5","F","63.0","3"
"117","69.7","62.0","F","62.5","1"
"118","69.5","62.0","M","73.0","3"
"118","69.5","62.0","M","72.0","3"
"118","69.5","62.0","M","69.0","3"
"119","69.0","62.0","M","73.0","5"
"119","69.0","62.0","M","71.0","5"
"119","69.0","62.0","M","71.0","5"
"119","69.0","62.0","M","69.0","5"
"119","69.0","62.0","F","63.0","5"
"121","69.0","62.5","M","71.0","8"
"121","69.0","62.5","M","70.0","8"
"121","69.0","62.5","M","70.0","8"
"121","69.0","62.5","M","69.0","8"
"121","69.0","62.5","F","63.5","8"
"121","69.0","62.5","F","62.5","8"
"121","69.0","62.5","F","62.5","8"
"121","69.0","62.5","F","62.0","8"
"122","69.0","62.0","M","72.0","4"
"122","69.0","62.0","M","68.0","4"
"122","69.0","62.0","F","66.0","4"
"122","69.0","62.0","F","66.0","4"
"123","69.5","61.0","M","70.0","5"
"123","69.5","61.0","M","69.5","5"
"123","69.5","61.0","M","69.0","5"
"123","69.5","61.0","F","63.0","5"
"123","69.5","61.0","F","62.0","5"
"124","69.0","61.0","M","68.0","9"
"124","69.0","61.0","M","68.0","9"
"124","69.0","61.0","M","67.5","9"
"124","69.0","61.0","M","64.0","9"
"124","69.0","61.0","M","63.0","9"
"124","69.0","61.0","M","63.0","9"
"124","69.0","61.0","F","63.5","9"
"124","69.0","61.0","F","62.0","9"
"124","69.0","61.0","F","62.0","9"
"125","69.0","60.0","M","70.5","3"
"125","69.0","60.0","F","68.0","3"
"125","69.0","60.0","F","62.5","3"
"126","69.0","60.0","M","69.0","4"
"126","69.0","60.0","M","66.0","4"
"126","69.0","60.0","F","61.7","4"
"126","69.0","60.0","F","60.5","4"
"127","69.0","60.5","M","69.5","1"
"128","68.7","70.5","M","71.0","2"
"128","68.7","70.5","F","61.7","2"
"129","68.5","67.0","M","73.0","3"
"129","68.5","67.0","M","71.0","3"
"129","68.5","67.0","F","67.0","3"
"130","68.5","66.5","M","70.0","11"
"130","68.5","66.5","M","69.0","11"
"130","68.5","66.5","M","69.0","11"
"130","68.5","66.5","M","68.7","11"
"130","68.5","66.5","M","68.5","11"
"130","68.5","66.5","M","68.5","11"
"130","68.5","66.5","M","68.0","11"
"130","68.5","66.5","M","68.0","11"
"130","68.5","66.5","M","68.0","11"
"130","68.5","66.5","F","63.2","11"
"131","68.0","65.0","M","67.5","2"
"131","68.0","65.0","M","66.0","2"
"132","68.0","65.5","M","66.0","2"
"132","68.0","65.5","F","64.0","2"
"133","68.0","65.5","M","71.7","7"
"133","68.0","65.5","M","71.5","7"
"133","68.0","65.5","M","70.7","7"
"133","68.0","65.5","M","65.5","7"
"133","68.0","65.5","F","66.5","7"
"133","68.0","65.5","F","65.2","7"
"133","68.0","65.5","F","61.5","7"
"134","68.0","65.0","M","72.0","4"
"134","68.0","65.0","M","72.0","4"
"134","68.0","65.0","F","68.0","4"
"134","68.0","65.0","F","66.0","4"
"135","68.5","65.0","M","69.2","8"
"135","68.5","65.0","M","68.0","8"
"135","68.5","65.0","M","66.0","8"
"135","68.5","65.0","M","66.0","8"
"135","68.5","65.0","F","62.0","8"
"135","68.5","65.0","F","61.5","8"
"135","68.5","65.0","F","61.0","8"
"135","68.5","65.0","F","60.0","8"
"136","68.0","64.0","M","71.0","10"
"136","68.0","64.0","M","68.0","10"
"136","68.0","64.0","M","68.0","10"
"136","68.0","64.0","M","67.0","10"
"136","68.0","64.0","F","65.0","10"
"136","68.0","64.0","F","64.0","10"
"136","68.0","64.0","F","63.0","10"
"136","68.0","64.0","F","63.0","10"
"136","68.0","64.0","F","62.0","10"
"136","68.0","64.0","F","61.0","10"
"137","68.0","64.0","M","66.0","4"
"137","68.0","64.0","M","63.0","4"
"137","68.0","64.0","F","65.5","4"
"137","68.0","64.0","F","62.0","4"
"138","68.0","64.0","M","71.2","5"
"138","68.0","64.0","M","71.2","5"
"138","68.0","64.0","M","69.0","5"
"138","68.0","64.0","M","68.5","5"
"138","68.0","64.0","F","62.5","5"
"139","68.0","64.5","F","62.0","1"
"140","68.0","64.0","M","69.0","10"
"140","68.0","64.0","M","67.0","10"
"140","68.0","64.0","M","66.0","10"
"140","68.0","64.0","F","66.0","10"
"140","68.0","64.0","F","66.0","10"
"140","68.0","64.0","F","65.0","10"
"140","68.0","64.0","F","65.0","10"
"140","68.0","64.0","F","65.0","10"
"140","68.0","64.0","F","64.0","10"
"140","68.0","64.0","F","63.0","10"
"141","68.0","63.0","M","70.5","8"
"141","68.0","63.0","M","70.0","8"
"141","68.0","63.0","M","68.0","8"
"141","68.0","63.0","M","66.0","8"
"141","68.0","63.0","M","66.0","8"
"141","68.0","63.0","F","66.0","8"
"141","68.0","63.0","F","62.0","8"
"141","68.0","63.0","F","61.5","8"
"142","68.5","63.5","M","73.5","4"
"142","68.5","63.5","M","70.0","4"
"142","68.5","63.5","M","69.5","4"
"142","68.5","63.5","F","65.5","4"
"143","68.0","63.0","M","67.0","1"
"144","68.0","63.0","M","70.0","4"
"144","68.0","63.0","M","68.0","4"
"144","68.0","63.0","F","64.5","4"
"144","68.0","63.0","F","64.0","4"
"145","68.0","63.0","M","71.0","8"
"145","68.0","63.0","M","68.0","8"
"145","68.0","63.0","M","66.0","8"
"145","68.0","63.0","M","65.5","8"
"145","68.0","63.0","M","65.0","8"
"145","68.0","63.0","F","63.0","8"
"145","68.0","63.0","F","62.0","8"
"145","68.0","63.0","F","62.0","8"
"146","68.0","63.0","M","67.0","6"
"146","68.0","63.0","M","67.0","6"
"146","68.0","63.0","M","66.0","6"
"146","68.0","63.0","F","64.0","6"
"146","68.0","63.0","F","63.5","6"
"146","68.0","63.0","F","61.0","6"
"147","68.5","63.5","M","68.2","1"
"148","68.0","63.0","M","70.0","1"
"149","68.2","63.5","M","70.0","5"
"149","68.2","63.5","M","69.0","5"
"149","68.2","63.5","M","67.0","5"
"149","68.2","63.5","M","65.5","5"
"149","68.2","63.5","F","64.5","5"
"150","68.0","62.5","M","68.5","1"
"151","68.7","62.0","M","67.7","2"
"151","68.7","62.0","F","61.7","2"
"152","68.0","62.5","M","66.5","1"
"153","68.0","61.0","M","68.5","5"
"153","68.0","61.0","M","68.0","5"
"153","68.0","61.0","M","64.0","5"
"153","68.0","61.0","F","63.5","5"
"153","68.0","61.0","F","63.0","5"
"154","68.0","60.2","M","66.7","1"
"155","68.0","60.0","M","64.0","7"
"155","68.0","60.0","F","61.0","7"
"155","68.0","60.0","F","61.0","7"
"155","68.0","60.0","F","60.0","7"
"155","68.0","60.0","F","60.0","7"
"155","68.0","60.0","F","60.0","7"
"155","68.0","60.0","F","56.0","7"
"156","68.0","60.0","M","67.5","4"
"156","68.0","60.0","M","67.0","4"
"156","68.0","60.0","M","66.5","4"
"156","68.0","60.0","F","60.0","4"
"157","68.5","59.0","M","69.0","1"
"158","68.0","59.0","M","68.0","10"
"158","68.0","59.0","M","65.0","10"
"158","68.0","59.0","M","64.7","10"
"158","68.0","59.0","M","64.0","10"
"158","68.0","59.0","M","64.0","10"
"158","68.0","59.0","M","63.0","10"
"158","68.0","59.0","F","65.0","10"
"158","68.0","59.0","F","65.0","10"
"158","68.0","59.0","F","62.0","10"
"158","68.0","59.0","F","61.0","10"
"159","67.0","66.2","M","72.7","5"
"159","67.0","66.2","M","72.7","5"
"159","67.0","66.2","M","71.5","5"
"159","67.0","66.2","F","65.5","5"
"159","67.0","66.2","F","63.5","5"
"160","67.0","66.5","M","71.0","1"
"162","67.0","65.0","M","69.7","6"
"162","67.0","65.0","M","67.5","6"
"162","67.0","65.0","F","65.5","6"
